id,city,lat,lng,country,capital
1,roma,41.90142322,12.48785931,italy,1
2,milan,45.46261537,9.183208011,italy,0
3,napoli,40.85173688,14.26462989,italy,0
4,venice,45.49991362,12.33931995,italy,0
5,florence,43.75820565,11.25919745,italy,0
6,Mumbai,19.0761,72.8775,India,1
7,Manila,14.5958,120.9772,Philippines,0
8,Shanghai,31.1667,121.4667,China,1
9,São Paulo,-23.55,-46.6333,Brazil,1
10,Seoul,37.56,126.99,South Korea,0
11,Mexico City,19.4333,-99.1333,Mexico,0
12,Cairo,30.0444,31.2358,Egypt,0
13,New York,40.6943,-73.9249,United States,0
14,Dhaka,23.7639,90.3889,Bangladesh,0
15,Beijing,39.904,116.4075,China,0
16,Kolkāta,22.5675,88.37,India,1
17,Bangkok,13.7525,100.4942,Thailand,0
18,Shenzhen,22.535,114.054,China,0
19,Moscow,55.7558,37.6178,Russia,0
20,Buenos Aires,-34.5997,-58.3819,Argentina,0
21,Lagos,6.455,3.3841,Nigeria,0
22,Istanbul,41.0136,28.955,Turkey,1
23,Karachi,24.86,67.01,Pakistan,1
24,Bangalore,12.9789,77.5917,India,1
25,Ho Chi Minh City,10.7756,106.7019,Vietnam,1
26,Ōsaka,34.6939,135.5022,Japan,1
27,Chengdu,30.66,104.0633,China,1
28,Tehran,35.6892,51.3889,Iran,0
29,Kinshasa,-4.325,15.3222,Congo (Kinshasa),0
30,Rio de Janeiro,-22.9111,-43.2056,Brazil,1
31,Chennai,13.0825,80.275,India,1
32,Xi’an,34.2667,108.9,China,1
33,Lahore,31.5497,74.3436,Pakistan,1
34,Chongqing,29.55,106.5069,China,1
35,Los Angeles,34.1141,-118.4068,United States,
36,Baoding,38.8671,115.4845,China,
37,London,51.5072,-0.1275,United Kingdom,0
38,Paris,48.8567,2.3522,France,0
39,Linyi,35.1041,118.3502,China,0
40,Dongguan,23.0475,113.7493,China,0
41,Hyderābād,17.385,78.4867,India,1
42,Tianjin,39.1467,117.2056,China,1
43,Lima,-12.06,-77.0375,Peru,0
44,Wuhan,30.5872,114.2881,China,1
45,Nanyang,32.9987,112.5292,China,0
46,Hangzhou,30.25,120.1675,China,1
47,Foshan,23.0292,113.1056,China,0
48,Nagoya,35.1833,136.9,Japan,1
49,Taipei,25.0375,121.5625,Taiwan,0
50,Tongshan,34.261,117.1859,China,0
51,Luanda,-8.8383,13.2344,Angola,0
52,Zhoukou,33.625,114.6418,China,0
53,Ganzhou,25.8292,114.9336,China,0
54,Kuala Lumpur,3.1478,101.6953,Malaysia,0
55,Heze,35.2333,115.4333,China,0
56,Quanzhou,24.9139,118.5858,China,0
57,Chicago,41.8375,-87.6866,United States,0
58,Nanjing,32.0608,118.7789,China,1
59,Jining,35.4,116.5667,China,0
60,Hanoi,21.0283,105.8542,Vietnam,0
61,Pune,18.5203,73.8567,India,0
62,Fuyang,32.8986,115.8045,China,0
63,Ahmedabad,23.03,72.58,India,0
64,Johannesburg,-26.2044,28.0456,South Africa,1
65,Bogotá,4.7111,-74.0722,Colombia,0
66,Dar es Salaam,-6.8161,39.2803,Tanzania,0
67,Shenyang,41.8025,123.4281,China,1
68,Khartoum,15.5006,32.56,Sudan,0
69,Shangqiu,34.4259,115.6467,China,0
70,Cangzhou,38.3037,116.8452,China,0
71,Hong Kong,22.3,114.2,Hong Kong,0
72,Shaoyang,27.2418,111.4725,China,
73,Zhanjiang,21.1967,110.4031,China,0
74,Yancheng,33.3936,120.1339,China,0
75,Hengyang,26.8968,112.5857,China,
76,Riyadh,24.6333,46.7167,Saudi Arabia,0
77,Zhumadian,32.9773,114.0253,China,
78,Santiago,-33.4372,-70.6506,Chile,0
79,Xingtai,37.0659,114.4753,China,
80,Chattogram,22.335,91.8325,Bangladesh,1
81,Bijie,27.3019,105.2863,China,
82,Shangrao,28.4419,117.9633,China,0
83,Zunyi,27.705,106.9336,China,
84,Sūrat,21.1702,72.8311,India,
85,Surabaya,-7.2458,112.7378,Indonesia,1
86,Huanggang,30.45,114.875,China,0
87,Maoming,21.6618,110.9178,China,0
88,Nanchong,30.7991,106.0784,China,0
89,Xinyang,32.1264,114.0672,China,
90,Madrid,40.4169,-3.7033,Spain,0
91,Baghdad,33.3153,44.3661,Iraq,0
92,Qujing,25.5102,103.8029,China,
93,Jieyang,23.5533,116.3649,China,0
94,Singapore,1.3,103.8,Singapore,0
95,Prayagraj,25.4358,81.8464,India,
96,Liaocheng,36.45,115.9833,China,0
97,Dalian,38.9,121.6,China,
98,Yulin,22.6293,110.1507,China,0
99,Changde,29.0397,111.6839,China,0
100,Qingdao,36.1167,120.4,China,0
101,Douala,4.05,9.7,Cameroon,1
102,Miami,25.784,-80.2101,United States,
103,Nangandao,35.2992,113.8851,China,0
104,Pudong,31.2231,121.5397,China,0
105,Xiangyang,32.0654,112.1531,China,0
106,Dallas,32.7935,-96.7667,United States,
107,Houston,29.786,-95.3885,United States,
108,Zhengzhou,34.7492,113.6605,China,1
109,Lu’an,31.7542,116.5078,China,0
110,Dezhou,37.4513,116.3105,China,0
111,Jinan,36.6667,116.9833,China,1
112,Giza,29.987,31.2118,Egypt,1
113,Zhaotong,27.3328,103.7144,China,
114,Yichun,27.8041,114.383,China,0
