id,name,address,city_id,location,description,price,place type,food_type
1,Hotel Quirinale,"Via Nazionale 7, Central Station, 00184 Rome, Italy",1,41.90182202037885 12.494873553074376,,200,hotel,
2,Hotel Hassler Roma,"Piazza della Trinita dei Monti, 6, 00187 Rome, Italy",1,41.906092743874524 12.484043924238929,,90,hotel,
3,The St. Regis Rome,"Via Vittorio Emanuele Orlando, 3, 00185 Rome, Italy",1,41.90416749222035 12.49482998006026,,50,hotel,
4,"Rome Cavalieri, A Waldorf Astoria Hotel","Via Alberto Cadlolo, 101, 00136 Rome, Italy",1,41.918979375018125 12.446569334032556,,150,hotel,
5,Palazzo Manfredi - Small Luxury Hotels of the World,"Via Labicana, 125, 00184 Rome, Italy",1,41.89034133388365 12.495560980059329,,120,hotel,
6,Hotel Eden - Dorchester Collection,"Via Ludovisi, 49, 00187 Rome, Italy",1,41.90679538161047 12.486303322388942,,250,hotel,
7,Gran MeliÃ¡ Rome Villa Agrippina - The Leading Hotels of the World,"Via del Gianicolo, 3, 00165 Rome, Italy",1,41.89915022839809 12.461118495402745,,200,hotel,
8,Hotel de Russie - Rocco Forte,"Via del Babuino, 9, 00187 Rome, Italy",1,41.91011114243399 12.477447366567763,,80,hotel,
9,Grand Hotel de la Minerve,"Piazza della Minerva, 69, 00186 Rome, Italy",1,41.89778220180332 12.477604995402661,,120,hotel,
10,The Westin Excelsior Rome,"Via Vittorio Veneto, 125, 00187 Rome, Italy",1,41.907870017589 12.490085824239056,,400,hotel,
11,"Boscolo Exedra Roma, Autograph Collection","Piazza della Repubblica, 47, 00185 Rome, Italy",1,41.9026154377316 12.495568191110168,,100,hotel,
12,Hotel de Ricci,"Via della Barchetta, 14, 00186 Rome, Italy",1,41.89626312055495 12.468818281909737,,90,hotel,
13,Hotel Raphael - Relais & ChÃ¢teaux,"Largo Febo, 2, 00186 Rome, Italy",1,41.900151982199965 12.472093695402847,,140,hotel,
14,Hotel Indigo Rome - St. George,"Via Giulia, 62, 00186 Rome, Italy",1,41.898346501687016 12.4661624800598,,240,hotel,
15,The First Roma Dolce,"Via del Vantaggio, 14, 00186 Rome, Italy",1,41.90759668388538 12.477888085839808,,350,hotel,
16,Hotel Artemide,"Via Nazionale, 22, 00184 Rome, Italy",1,41.901473378399785 12.493354288002738,,250,hotel,
17,"Aleph Rome Hotel, Curio Collection by Hilton","Via di San Basilio, 15, 00187 Rome, Italy",1,41.90547539981711 12.489989651224544,,100,hotel,
18,iQ Hotel Roma,"Via Firenze, 8, 00184 Rome, Italy",1,41.90063451071497 12.495210880059954,,200,hotel,
19,Hotel Locarno,"Via della Penna, 22, 00186 Rome, Italy",1,41.90980551499586 12.47472659540348,,300,hotel,
