id,name,address,city_id,location,description,time,price
352,Teatro dellOpera di Roma,"Piazza Beniamino Gigli, 00184 Roma RM, Italy",1,41.90079059587993 12.495658295400876,Iconic 19th-century theater thats as visually dramatic & lavish as the opera productions it stages.,2,50
353,Piazza Navona in Rome,"Piazza Navona, 00186 Roma RM, Italy",1,42.61517702203919 12.588172027923532,"Elegant square dating from the 1st century A.D., with a baroque fountain, street artists & bars.",1,60
354,Trevi Fountain in Rome,"Piazza di Trevi, 00187 Roma RM, Italy",1,41.90108118403159 12.483358776092714,"Aqueduct-fed rococo fountain, designed by Nicola Salvi & completed in 1762, with sculpted figures.",2,50
355,Intimate jazz club & whisky bar.,"Via Gregoriana, 54/a, 00187 Roma RM, Italy",1,41.90646391870449 12.48456545236533,Cool cocktails & bar meals in a low-lit setting with a frosty vibe & decor made out of ice.,1,35
356,Castel SantAngelo,"Lungotevere Castello, 50, 00193 Roma RM, Italy",1,41.90318294933377 12.466254537728092,"Circular, 2nd-century castle housing furniture & paintings collections in Renaissance apartments.",1,35
357,Roof Garden & Bar,"Via Giovanni Vitelleschi, 34, 00193 Roma RM, Italy",1,41.905156608826275 12.461993231390387,"A roof that turns into a terrace for cocktails, private parties, business meetings or can also be used only to admire Rome from an unconventional perspective. ",1,75
358,Vatican Museums,00120 Vatican City,1,41.90663948198113 12.453652024237723,"Multiple galleries of classical & Renaissance art masterpieces, plus the Sistine Chapel frescoes.",3,70
359,Trastevere,"Trastevere, Rome, Metropolitan City of Rome Capital, Italy",1,41.885986467545884 12.47013118675295,"Colorful Trastevere is a funky, bohemian area that clings to its centuries-old, working-class roots. Its known for traditional and innovative trattorias, craft beer pubs and artisan shops, as well as simple B&Bs and budget hotels. From the pre-dinner passeggiata (promenade) until late, a young crowd buzzes around Piazza di San Calisto and Piazza Santa Maria in Trastevere, the site of a gilded, mosaic-filled church.",1,40
360,Ice Club Roma,"Via della Madonna dei Monti, 18/19, 00184 Roma RM, Italy",1,41.89587441474658 12.489198508866922,Cool cocktails & bar meals in a low-lit setting with a frosty vibe & decor made out of ice.,2,50
361,La Cabala,"Via dei Soldati, 25c, 00186 Roma RM, Italy",1,41.90571254723192 12.47117406485654,Intimate nightclub on the top floor of a medieval building with views of the River Tiber.,2,70
