id,name,address,city_id,location,description,price
1,Colosseum,"Piazza del Colosseo, 1, 00184 Roma RM, Italy",1,41.89021 12.49223,"The Colosseum is an ancient amphitheater located in Rome, Italy. It is one of the most iconic landmarks of the Roman Empire and a popular tourist attraction.",42
2,Roman Forum,"Via della Salara Vecchia, 5/6, 00186 Roma RM, Italy",1,41.892635 12.485349,The Roman Forum is a rectangular plaza surrounded by the ruins of several important ancient government buildings. It served as the center of Roman public life for centuries.,55
3,Pantheon,"Piazza della Rotonda, 00186 Roma RM, Italy",1,41.89861 12.476846,"The Pantheon is a former Roman temple and now a church. It is known for its impressive dome and the oculus in the center, which allows natural light to enter the building.",12
4,Trevi Fountain,"Piazza di Trevi, 00187 Roma RM, Italy",1,41.900932 12.48329,The Trevi Fountain is a famous Baroque fountain in Rome. It is known for its stunning sculptures and is a popular spot for visitors to throw coins into the water.,51
5,Vatican City,Vatican City,1,41.902916 12.453389,"Vatican City is an independent city-state surrounded by Rome, Italy. It is the spiritual and administrative headquarters of the Roman Catholic Church and home to St. Peter's Basilica and the Vatican Museums.",42
6,Spanish Steps,"Piazza di Spagna, 00187 Roma RM, Italy",1,41.90546 12.482145,"The Spanish Steps is a famous staircase in Rome, connecting the Piazza di Spagna at the bottom with the Trinità dei Monti church at the top. It is a popular meeting point and gathering place.",28
7,Castel Sant'Angelo,"Lungotevere Castello, 50, 00193 Roma RM, Italy",1,41.903056 12.466389,"Castel Sant'Angelo is a fortress located on the right bank of the Tiber River in Rome. It has served various purposes throughout history, including as a mausoleum, a castle, and a museum.",17
8,Palatine Hill,"Via di San Gregorio, 00186 Roma RM, Italy",1,41.888359 12.487366,Palatine Hill is one of the seven hills of Rome and is considered the centermost of the famous Seven Hills of Rome. It offers panoramic views of the Roman Forum and the Circus Maximus.,27
9,Baths of Caracalla,"Viale delle Terme di Caracalla,52, 00153 Roma RM, Italy",1,41.87956 12.492309,The Baths of Caracalla were ancient Roman public baths built during the reign of Emperor Caracalla. They were one of the largest and most impressive thermal complexes in ancient Rome.,31
10,Piazza Navona,"Piazza Navona, 00186 Roma RM, Italy",1,41.89917 12.47351,"Piazza Navona is a beautiful square in Rome, famous for its Baroque architecture and stunning fountains. It is a lively gathering place and a hub of activity with numerous cafes and street performers.",17
11,Circus Maximus,"Via del Circo Massimo, 00186 Roma RM, Italy",1,41.8839 12.4845,"Circus Maximus is an ancient Roman chariot racing stadium and entertainment venue. It was the largest stadium in ancient Rome and could accommodate over 150,000 spectators.",15
12,Capitoline Hill,"Piazza del Campidoglio, 00186 Roma RM, Italy",1,41.8931 12.4828,"Capitoline Hill is one of the seven hills of Rome and was the citadel of the ancient city. It now houses the Capitoline Museums, which showcase a vast collection of ancient art and artifacts.",20
13,Ara Pacis,"Lungotevere in Augusta, 00186 Roma RM, Italy",1,41.9047 12.4769,"The Ara Pacis is an ancient altar dedicated to the Roman goddess of peace, Pax. It is considered one of the most important works of Roman sculpture and is housed in a modern museum building.",10
14,Basilica of Santa Maria Maggiore,"Piazza di Santa Maria Maggiore, 42, 00185 Roma RM, Italy",1,41.8975 12.4983,The Basilica of Santa Maria Maggiore is one of the major basilicas in Rome and is dedicated to the Virgin Mary. It is known for its beautiful mosaics and stunning interior.,5
15,Palazzo Barberini,"Via delle Quattro Fontane, 13, 00184 Roma RM, Italy",1,41.9039 12.4896,"Palazzo Barberini is a palace in Rome that houses the Galleria Nazionale d'Arte Antica, an art gallery with a vast collection of paintings, sculptures, and other artworks.",25
16,Campo de' Fiori,"Campo de' Fiori, 00186 Roma RM, Italy",1,41.8956 12.4728,"Campo de' Fiori is a lively square in Rome known for its bustling market during the day and vibrant nightlife. It is surrounded by restaurants, cafes, and historic buildings.",0
17,Santa Maria in Trastevere,"Piazza di Santa Maria in Trastevere, 00153 Roma RM, Italy",1,41.8894 12.4691,Santa Maria in Trastevere is one of the oldest churches in Rome and is located in the charming Trastevere neighborhood. It is known for its beautiful mosaics and stunning interior.,10
18,Catacombs of San Callisto,"Via Appia Antica, 110/126, 00179 Roma RM, Italy",1,41.8583 12.5134,The Catacombs of San Callisto are underground burial sites that were used by early Christians in Rome. They are one of the largest and most important catacombs in the city.,8
19,Arch of Constantine,"Via di San Gregorio, 00186 Roma RM, Italy",1,41.88875 12.48889,"The Arch of Constantine is a triumphal arch in Rome, located near the Colosseum. It was built to commemorate the victory of Constantine the Great and is known for its well-preserved reliefs.",5
